full_name,email,start_date,position,status,equipment,department
Anna Boyko,anna.154@example.com,2024-01-19,QA Engineer,ACTIVE,Laptop,Operations
Viktoria Shevchenko,viktoria.155@example.com,2021-06-13,Designer,ACTIVE,Laptop;Keyboard,Sales
Volodymyr Bondarenko,volodymyr.156@example.com,2022-03-20,Designer,ACTIVE,Docking station,HR
Volodymyr Shevchenko,volodymyr.157@example.com,2024-12-18,Project Manager,ONBOARDING,Monitor;Laptop;Keyboard,Sales
Igor Tkachenko,igor.158@example.com,2025-10-16,Designer,ONBOARDING,Keyboard;Badge,Sales
Oleksandr Kovalenko,oleksandr.159@example.com,2020-02-08,Designer,ONBOARDING,Keyboard;Docking station;Badge,Finance
Viktoria Shevchenko,viktoria.160@example.com,2025-05-11,Project Manager,ACTIVE,Docking station;Badge,Operations
Igor Shevchenko,igor.161@example.com,2022-12-02,DevOps Engineer,ONBOARDING,Laptop;Keyboard;Headset,Finance
Yulia Shevchenko,yulia.162@example.com,2021-02-23,Data Analyst,ACTIVE,Mouse;Headset,Sales
Oksana Shevchenko,oksana.163@example.com,2026-04-21,Designer,ACTIVE,Monitor;Headset;Docking station,Finance
Oksana Tkachenko,oksana.164@example.com,2024-04-07,Designer,ONBOARDING,Laptop;Keyboard;Docking station,Sales
Olena Oliynyk,olena.165@example.com,2021-12-25,DevOps Engineer,ONBOARDING,Mouse,IT
Oksana Boyko,oksana.166@example.com,2021-07-02,Junior Developer,ACTIVE,Monitor,IT
Igor Tkachenko,igor.167@example.com,2022-01-22,Designer,ONBOARDING,Monitor;Headset,Operations
Ivan Shevchenko,ivan.168@example.com,2026-10-22,QA Engineer,ACTIVE,Headset;Monitor;Badge,Sales
Igor Kovalenko,igor.169@example.com,2021-03-19,DevOps Engineer,ACTIVE,Mouse;Docking station;Keyboard,HR
Serhiy Melnyk,serhiy.170@example.com,2026-06-29,QA Engineer,ONBOARDING,Keyboard;Headset;Monitor,Operations
Dmitro Oliynyk,dmitro.171@example.com,2023-01-24,QA Engineer,ACTIVE,Mouse,Sales
Viktoria Kovalenko,viktoria.172@example.com,2025-09-20,Designer,ACTIVE,Keyboard,Sales
Igor Tkachenko,igor.173@example.com,2023-05-18,Project Manager,NEW,Laptop,IT
Andriy Shevchenko,andriy.174@example.com,2025-08-16,QA Engineer,NEW,Mouse;Headset,IT
Yulia Kovalenko,yulia.175@example.com,2023-12-25,DevOps Engineer,ONBOARDING,Monitor;Docking station,Finance
Oleksandr Shevchenko,oleksandr.176@example.com,2025-11-04,Data Analyst,NEW,Docking station,Operations
Anna Oliynyk,anna.177@example.com,2021-06-24,Project Manager,ONBOARDING,Docking station;Badge,IT
Andriy Oliynyk,andriy.178@example.com,2022-10-09,Data Analyst,ONBOARDING,Keyboard,Sales
Igor Oliynyk,igor.179@example.com,2026-10-22,DevOps Engineer,ONBOARDING,Mouse;Headset,Finance
Yulia Oliynyk,yulia.180@example.com,2025-09-16,Designer,ONBOARDING,Mouse;Monitor,HR
Andriy Tkachenko,andriy.181@example.com,2023-04-01,Designer,ONBOARDING,Keyboard;Docking station,Sales
Dmitro Shevchenko,dmitro.182@example.com,2023-03-17,QA Engineer,ACTIVE,Docking station,HR
Yulia Kovalenko,yulia.183@example.com,2020-06-11,Designer,NEW,Badge,HR
Oksana Boyko,oksana.184@example.com,2020-02-22,Project Manager,ACTIVE,Keyboard;Monitor;Docking station,Sales
Natalia Shevchenko,natalia.185@example.com,2024-02-29,Project Manager,ACTIVE,Headset;Keyboard,HR
Natalia Boyko,natalia.186@example.com,2022-08-28,Designer,ONBOARDING,Badge;Keyboard;Docking station,Sales
Dmitro Shevchenko,dmitro.187@example.com,2023-03-12,Designer,ONBOARDING,Headset;Badge,Operations
Oksana Oliynyk,oksana.188@example.com,2023-07-25,Designer,ACTIVE,Mouse,Operations
Andriy Melnyk,andriy.189@example.com,2024-09-25,Junior Developer,ONBOARDING,Badge,Finance
Andriy Boyko,andriy.190@example.com,2025-09-15,Designer,ACTIVE,Docking station;Keyboard;Mouse,HR
Ivan Boyko,ivan.191@example.com,2022-09-29,Junior Developer,ACTIVE,Laptop;Docking station;Badge,Sales
Yulia Shevchenko,yulia.192@example.com,2026-07-14,Project Manager,ACTIVE,Headset;Mouse,Operations
Ivan Shevchenko,ivan.193@example.com,2023-01-31,Designer,ONBOARDING,Headset;Keyboard,HR
Andriy Tkachenko,andriy.194@example.com,2021-01-23,Designer,ACTIVE,Mouse,Finance
Olena Bondarenko,olena.195@example.com,2020-01-29,QA Engineer,NEW,Monitor,Sales
Yulia Bondarenko,yulia.196@example.com,2022-07-04,Data Analyst,NEW,Keyboard;Badge,Sales
Natalia Kovalenko,natalia.197@example.com,2020-05-17,Designer,NEW,Badge;Keyboard;Headset,HR
Anna Shevchenko,anna.198@example.com,2022-09-18,DevOps Engineer,ACTIVE,Mouse;Keyboard;Laptop,Operations
Serhiy Bondarenko,serhiy.199@example.com,2023-05-27,Junior Developer,NEW,Headset;Laptop,IT
Olena Boyko,olena.200@example.com,2026-01-27,QA Engineer,NEW,Docking station;Laptop,Operations
Viktoria Boyko,viktoria.201@example.com,2024-12-08,DevOps Engineer,NEW,Monitor;Mouse,Finance
Oksana Bondarenko,oksana.202@example.com,2021-06-07,Designer,NEW,Badge,Sales
Volodymyr Oliynyk,volodymyr.203@example.com,2022-05-03,DevOps Engineer,ONBOARDING,Mouse,Finance
Maria Kovalenko,maria.204@example.com,2022-01-02,QA Engineer,ONBOARDING,Mouse,Operations
Natalia Boyko,natalia.205@example.com,2020-09-19,QA Engineer,ONBOARDING,Monitor;Keyboard;Laptop,Operations
Olena Tkachenko,olena.206@example.com,2020-05-04,Junior Developer,ACTIVE,Headset;Keyboard,Sales
Maria Melnyk,maria.207@example.com,2023-12-31,Designer,NEW,Mouse;Monitor;Keyboard,Operations
Viktoria Kovalenko,viktoria.208@example.com,2022-04-23,DevOps Engineer,NEW,Docking station;Monitor,HR
Andriy Tkachenko,andriy.209@example.com,2026-06-02,Junior Developer,ACTIVE,Badge,HR
Oksana Kovalenko,oksana.210@example.com,2022-11-19,Data Analyst,ACTIVE,Badge,Operations
Igor Tkachenko,igor.211@example.com,2024-10-10,Designer,NEW,Docking station,IT
Dmitro Kovalenko,dmitro.212@example.com,2025-01-13,Project Manager,ONBOARDING,Monitor;Mouse,IT
Oksana Shevchenko,oksana.213@example.com,2021-07-02,Data Analyst,ACTIVE,Monitor,Sales
Dmitro Boyko,dmitro.214@example.com,2020-06-08,DevOps Engineer,NEW,Laptop;Mouse,IT
Oksana Bondarenko,oksana.215@example.com,2024-05-16,Junior Developer,ACTIVE,Monitor;Badge;Mouse,HR
Serhiy Melnyk,serhiy.216@example.com,2023-03-06,DevOps Engineer,NEW,Monitor;Headset;Badge,IT
Olena Oliynyk,olena.217@example.com,2025-01-11,DevOps Engineer,ACTIVE,Laptop,Operations
Serhiy Melnyk,serhiy.218@example.com,2023-04-28,Junior Developer,ACTIVE,Keyboard,Operations
Viktoria Boyko,viktoria.219@example.com,2024-07-01,DevOps Engineer,ONBOARDING,Docking station,Operations
Igor Tkachenko,igor.220@example.com,2022-01-27,Designer,ACTIVE,Headset;Laptop,Finance
Oleksandr Bondarenko,oleksandr.221@example.com,2024-09-19,Project Manager,ACTIVE,Badge;Keyboard;Mouse,Sales
Viktoria Tkachenko,viktoria.222@example.com,2025-09-30,Junior Developer,NEW,Laptop;Headset,HR
Natalia Tkachenko,natalia.223@example.com,2026-06-01,Junior Developer,NEW,Badge;Headset,Finance
Olena Melnyk,olena.224@example.com,2025-07-29,DevOps Engineer,ONBOARDING,Monitor;Laptop,IT
Viktoria Tkachenko,viktoria.225@example.com,2020-08-20,Designer,ACTIVE,Mouse,Sales
Oleksandr Bondarenko,oleksandr.226@example.com,2021-09-08,Designer,ONBOARDING,Badge;Mouse;Monitor,Finance
Yulia Bondarenko,yulia.227@example.com,2024-05-25,Junior Developer,ACTIVE,Monitor,Sales
Oleksandr Kovalenko,oleksandr.228@example.com,2023-10-07,Designer,ONBOARDING,Docking station,Operations
Oksana Shevchenko,oksana.229@example.com,2026-11-21,QA Engineer,ACTIVE,Headset;Badge,HR
Oleksandr Melnyk,oleksandr.230@example.com,2025-03-21,Project Manager,ONBOARDING,Keyboard;Headset;Badge,HR
Oleksandr Boyko,oleksandr.231@example.com,2025-04-11,Designer,NEW,Keyboard;Docking station,HR
Natalia Oliynyk,natalia.232@example.com,2022-10-30,DevOps Engineer,ONBOARDING,Headset,IT
Olena Kovalenko,olena.233@example.com,2020-10-10,DevOps Engineer,ACTIVE,Keyboard,Finance
Igor Melnyk,igor.234@example.com,2023-10-26,Junior Developer,ACTIVE,Mouse,Sales
Yulia Boyko,yulia.235@example.com,2022-12-13,QA Engineer,NEW,Docking station;Badge,Sales
Anna Tkachenko,anna.236@example.com,2024-10-17,Project Manager,ACTIVE,Docking station;Mouse;Monitor,Sales
Oksana Melnyk,oksana.237@example.com,2020-04-11,Designer,ONBOARDING,Monitor;Mouse,Finance
Maria Tkachenko,maria.238@example.com,2025-01-03,QA Engineer,ACTIVE,Monitor;Badge;Laptop,Operations
Maria Kovalenko,maria.239@example.com,2022-09-23,DevOps Engineer,NEW,Keyboard;Headset,Operations
Viktoria Boyko,viktoria.240@example.com,2023-10-16,Data Analyst,NEW,Badge;Docking station;Mouse,Operations
Natalia Kovalenko,natalia.241@example.com,2020-10-08,QA Engineer,NEW,Keyboard;Mouse,Operations
Yulia Shevchenko,yulia.242@example.com,2020-04-25,QA Engineer,ONBOARDING,Laptop;Badge,Operations
Igor Boyko,igor.243@example.com,2024-12-05,Data Analyst,ONBOARDING,Docking station;Headset,HR
Ivan Kovalenko,ivan.244@example.com,2024-02-08,Junior Developer,ONBOARDING,Monitor,Sales
Dmitro Melnyk,dmitro.245@example.com,2022-05-11,Data Analyst,ACTIVE,Laptop;Keyboard;Mouse,IT
Oksana Melnyk,oksana.246@example.com,2024-02-17,Data Analyst,ONBOARDING,Monitor,Operations
Natalia Oliynyk,natalia.247@example.com,2022-09-06,Data Analyst,ACTIVE,Mouse,IT
Oksana Boyko,oksana.248@example.com,2026-07-31,Data Analyst,ACTIVE,Headset;Keyboard;Badge,Operations
Yulia Tkachenko,yulia.249@example.com,2020-07-04,Project Manager,ACTIVE,Mouse,IT
Oleksandr Melnyk,oleksandr.250@example.com,2021-03-17,Data Analyst,NEW,Docking station;Headset,Operations
Serhiy Shevchenko,serhiy.251@example.com,2026-07-29,Data Analyst,ONBOARDING,Laptop;Monitor,IT
Yulia Shevchenko,yulia.252@example.com,2026-12-01,Junior Developer,NEW,Keyboard,Finance
Natalia Shevchenko,natalia.253@example.com,2024-03-04,Data Analyst,NEW,Monitor;Docking station,Sales
Oksana Oliynyk,oksana.254@example.com,2020-08-13,Data Analyst,NEW,Monitor;Docking station;Badge,IT
Viktoria Boyko,viktoria.255@example.com,2021-12-16,QA Engineer,NEW,Laptop,IT
